Event ID;Station ID;Nb.photos / videos;Start;End ;Event duration (h:mn:sec);Date;Station ID_1;Nb.ind;Nb.males;Nb.females;Nb.Adults;Nb.Subadults;Nb.Juvenils;Undetermined Adult;Activities;Mouvement;Comments;Photos/Vidéos;Other observations
4-276;4;54;10:01:53;10:05:46;00:03:00;22/06/2017;D12;0;;;0;;;;;;;;
5-2831;5;49;08:15:26;08:16:22;00:00:00;23/06/2017;G4;0;;;0;;;;;;;;
7-907a;7;68;12:43:57;12:53:38;00:09:00;23/06/2017;F1;0;;;0;;;;;;;;
7-907b;7;1;13:09:42;13:09:42;00:00:00;23/06/2017;F1;0;;;0;;;;;;;;
7-907c;7;1;13:44:31;13:44:31;00:00:00;23/06/2017;F1;0;;;0;;;;;;;;
5-2834;5;80;12:08:57;12:19:32;00:10:00;24/06/2017;G4;0;;;0;;;;;;;;
5-2835;5;84;09:42:40;09:44:29;00:01:00;25/06/2017;G4;0;;;0;;;;;;;;
7-914;7;40;14:48:01;14:51:59;00:03:00;26/06/2017;F1;0;;;0;;;;;;;;
7-921;7;6;14:07:51;14:08:56;00:01:00;30/06/2017;F1;0;;;0;;;;;;;;
5-2855;5;87;10:17:38;10:21:05;00:03:00;01/07/2017;G4;0;;;0;;;;;;;;
7-923;7;4;14:05:38;14:07:57;00:02:00;01/07/2017;F1;0;;;0;;;;;;;;
7-924;7;7;14:22:58;14:23:21;00:00:00;01/07/2017;F1;0;;;0;;;;;;;;
4-292;4;7;09:03:14;09:03:27;00:00:00;02/07/2017;D12;0;;;0;;;;;;;;
7-930;7;122;15:28:40;15:45:21;00:16:00;04/07/2017;F1;0;;;0;;;;;;;;
7-933;7;40;09:09:52;09:18:03;00:08:00;05/07/2017;F1;0;;;0;;;;;;;;
9-2099;9;44;09:52:05;09:53:30;00:01:00;07/07/2017;G10;0;;;0;;;;;;;;
8-826;8;54;16:00:39;16:26:27;00:25:48;09/07/2017;D11;0;;;0;;;;;;;;
8-827;8;5;07:34:40;07:35:22;00:00:00;10/07/2017;D11;0;;;0;;;;;;;;
4-304;4;6;12:36:01;12:36:11;00:00:00;13/07/2017;D12;0;;;0;;;;;;;;
5-2886;5;7;11:13:47;11:18:57;00:05:00;14/07/2017;G4;0;;;0;;;;;;;;
9-2118a;9;2;13:27:33;13:33:56;00:06:00;16/07/2017;G10;0;;;0;;;;;;;;
9-2118b;9;15;13:45:27;14:00:25;00:14:00;16/07/2017;G10;0;;;0;;;;;;;;
9-2120;9;5;16:04:49;16:05:34;00:00:00;16/07/2017;G10;0;;;0;;;;;;;;
8-848;8;5;17:34:38;17:35:05;00:00:00;20/07/2017;D11;0;;;0;;;;;;;;
8-850;8;8;08:34:00;08:34:15;00:00:00;21/07/2017;D11;0;;;0;;;;;;;;
8-873;8;2;12:20:10;12:20:11;00:00:00;28/07/2017;D11;0;;;0;;;;;;;;
5-3024;5;2;13:39:29;13:39:37;00:00:00;03/08/2017;G4;0;;;0;;;;;;;;
5-3026;12;27;08:05:14;08:24:46;00:19:00;04/08/2017;G4;0;;;0;;;;;;;;
12-745;5;83;10:19:52;10:24:26;00:04:00;04/08/2017;D4;0;;;0;;;;;;;;
12-748;12;183;15:17:00;15:27:43;00:10:00;06/08/2017;D4;0;;;0;;;;;;;;
7-997a;7;1;14:56:39;14:56:39;00:00:00;08/08/2017;F1;0;;;0;;;;;;;;
7-997b;7;23;15:15:15;15:21:49;00:06:00;08/08/2017;F1;0;;;0;;;;;;;;
7-997c;7;1;15:47:38;15:47:38;00:00:00;08/08/2017;F1;0;;;0;;;;;;;;
7-1020;7;76;11:03:21;11:06:06;00:02:00;20/08/2017;F1;0;;;0;;;;;;;;
10-339;10;6;09:39:20;09:40:03;00:00:00;02/09/2017;G2;0;;;0;;;;;;;;
9-2233;9;70;13:48:31;13:57:18;00:08:00;02/09/2017;G10;0;;;0;;;;;;;;
9-2234;9;24;14:35:41;14:36:43;00:01:00;02/09/2017;G10;0;;;0;;;;;;;;
7-1084;7;2;10:09:10;10:09:15;00:00:00;04/09/2017;F1;0;;;0;;;;;;;;
7-1099a;7;46;08:10:01;08:38:42;00:28:41;09/09/2017;F1;0;;;0;;;;;;;;
7-1099b;7;6;08:51:14;08:52:34;00:01:00;09/09/2017;F1;0;;;0;;;;;;;;
7-1099c;7;2;09:07:06;09:07:18;00:00:00;09/09/2017;F1;0;;;0;;;;;;;;
8-926;8;3;15:00:23;15:00:30;00:00:00;13/09/2017;D11;0;;;0;;;;;;;;
8-927;8;22;15:56:41;15:58:09;00:01:00;13/09/2017;D11;0;;;0;;;;;;;;
8-941;8;5;08:38:13;08:38:32;00:00:00;30/09/2017;D11;0;;;0;;;;;;;;
8-942;8;33;18:10:03;18:39:51;00:29:48;01/10/2017;D11;0;;;0;;;;;;;;
8-943;8;61;06:15:20;06:30:57;00:15:00;02/10/2017;D11;0;;;0;;;;;;;;
8-983;8;2;17:46:42;17:47:26;00:00:00;22/10/2017;D11;0;;;0;;;;;;;;
7-1295;7;6;07:03:52;07:03:56;00:00:00;24/10/2017;F1;0;;;0;;;;;;;;
11-577;11;8;10:10:36;10:14:17;00:03:00;02/11/2017;G7;0;;;0;;;;;;;;
9-2306;9;60;08:20:46;08:25:56;00:05:00;05/11/2017;G10;0;;;0;;;;;;;;
9-2307;9;13;14:21:39;14:26:13;00:04:00;07/11/2017;G10;0;;;0;;;;;;;;
11-584;11;9;11:24:40;11:29:54;00:05:00;10/11/2017;G7;0;;;0;;;;;;;;
